"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","FIN","Finland","2013","2013",0.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","FIN","Finland","2014","2014",0.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","FIN","Finland","2015","2015",0.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","FIN","Finland","2016","2016",0.5,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","FIN","Finland","2017","2017",0.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","FIN","Finland","2018","2018",0.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","FIN","Finland","2019","2019",0.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","FIN","Finland","2020","2020",0.2,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","FIN","Finland","2021","2021",0.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","FRA","France","2010","2010",1.5,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","FRA","France","2011","2011",1.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","FRA","France","2012","2012",1.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","FRA","France","2013","2013",1.1,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","FRA","France","2014","2014",1,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","FRA","France","2015","2015",0.9,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","FRA","France","2016","2016",0.8,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","FRA","France","2017","2017",0.8,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","FRA","France","2018","2018",0.8,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","FRA","France","2019","2019",0.9,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","FRA","France","2020","2020",0.6,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","FRA","France","2021","2021",0.6,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","DEU","Germany","2010","2010",0.6,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","DEU","Germany","2011","2011",0.6,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","DEU","Germany","2012","2012",0.6,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","DEU","Germany","2013","2013",0.5,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","DEU","Germany","2014","2014",0.5,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","DEU","Germany","2015","2015",0.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","DEU","Germany","2016","2016",0.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","DEU","Germany","2017","2017",0.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","DEU","Germany","2018","2018",0.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","DEU","Germany","2019","2019",0.1,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","GRC","Greece","2010","2010",0.9,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","GRC","Greece","2011","2011",0.9,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","GRC","Greece","2012","2012",1.1,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","GRC","Greece","2013","2013",1.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","GRC","Greece","2014","2014",1.2,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","GRC","Greece","2015","2015",1.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","GRC","Greece","2016","2016",1.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","GRC","Greece","2017","2017",1.1,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","GRC","Greece","2018","2018",0.9,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","GRC","Greece","2019","2019",0.9,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","GRC","Greece","2020","2020",0.9,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","GRC","Greece","2021","2021",0.8,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","HUN","Hungary","2010","2010",0.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","HUN","Hungary","2011","2011",0.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","HUN","Hungary","2012","2012",0.5,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","HUN","Hungary","2013","2013",0.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","HUN","Hungary","2014","2014",0.5,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","HUN","Hungary","2015","2015",0.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","HUN","Hungary","2016","2016",0.5,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","HUN","Hungary","2017","2017",0.5,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","HUN","Hungary","2018","2018",0.6,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","HUN","Hungary","2019","2019",0.5,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","HUN","Hungary","2020","2020",0.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","HUN","Hungary","2021","2021",0.5,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ISL","Iceland","2010","2010",0.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ISL","Iceland","2011","2011",0.6,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ISL","Iceland","2012","2012",0.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ISL","Iceland","2013","2013",0.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ISL","Iceland","2014","2014",0,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ISL","Iceland","2015","2015",0,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ISL","Iceland","2016","2016",1.2,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ISL","Iceland","2017","2017",0,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ISL","Iceland","2018","2018",0.6,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ISL","Iceland","2019","2019",1.1,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ISL","Iceland","2020","2020",0.5,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ISL","Iceland","2021","2021",0.5,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","IRL","Ireland","2010","2010",0.8,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","IRL","Ireland","2011","2011",1,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","IRL","Ireland","2012","2012",0.7,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","IRL","Ireland","2013","2013",0.6,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","IRL","Ireland","2014","2014",0.6,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","IRL","Ireland","2015","2015",0.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","IRL","Ireland","2016","2016",0.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","IRL","Ireland","2017","2017",0.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","IRL","Ireland","2018","2018",0.2,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","IRL","Ireland","2019","2019",0.2,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","IRL","Ireland","2020","2020",0.2,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","IRL","Ireland","2021","2021",0.2,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ITA","Italy","2010","2010",1.9,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ITA","Italy","2011","2011",1.8,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ITA","Italy","2012","2012",1.8,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ITA","Italy","2013","2013",1.8,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ITA","Italy","2014","2014",1.5,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ITA","Italy","2015","2015",1.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ITA","Italy","2016","2016",1.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ITA","Italy","2017","2017",1.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ITA","Italy","2018","2018",1.2,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ITA","Italy","2019","2019",1,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ITA","Italy","2020","2020",0.7,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","ITA","Italy","2021","2021",0.6,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","JPN","Japan","2010","2010",0.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","JPN","Japan","2011","2011",0.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","JPN","Japan","2012","2012",0.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","JPN","Japan","2013","2013",0.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","JPN","Japan","2014","2014",0.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","JPN","Japan","2015","2015",0.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","JPN","Japan","2016","2016",0.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","JPN","Japan","2017","2017",0.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","JPN","Japan","2018","2018",0.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","JPN","Japan","2019","2019",0.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","JPN","Japan","2020","2020",0.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","JPN","Japan","2021","2021",0.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","KOR","Korea","2010","2010",0.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","KOR","Korea","2011","2011",0.5,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","KOR","Korea","2012","2012",0.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","KOR","Korea","2013","2013",0.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","KOR","Korea","2014","2014",0.5,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","KOR","Korea","2015","2015",0.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","KOR","Korea","2016","2016",0.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","KOR","Korea","2017","2017",0.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","KOR","Korea","2018","2018",0.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","KOR","Korea","2019","2019",0.4,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","KOR","Korea","2020","2020",0.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","KOR","Korea","2021","2021",0.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","LUX","Luxembourg","2010","2010",1.6,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","LUX","Luxembourg","2011","2011",2.3,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","LUX","Luxembourg","2012","2012",1.5,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","LUX","Luxembourg","2013","2013",2,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","LUX","Luxembourg","2014","2014",1.8,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","LUX","Luxembourg","2015","2015",1.8,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","LUX","Luxembourg","2016","2016",2.1,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","LUX","Luxembourg","2017","2017",1,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","LUX","Luxembourg","2018","2018",0.7,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","LUX","Luxembourg","2019","2019",0.7,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","LUX","Luxembourg","2020","2020",1.1,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","LUX","Luxembourg","2021","2021",1.6,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","MEX","Mexico","2010","2010",10,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","MEX","Mexico","2011","2011",9.6,,
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)","NEWCASTX","Incidence per 100 000 population","MEX","Mexico","2012","2012",10.4,,
